x-axis,1,2
second,Volt,Volt
-1.807500E-03,+1.949023648E+00,+3.263999363E+00
-1.805000E-03,+1.949928601E+00,+3.271637988E+00
-1.802500E-03,+1.966307930E+00,+3.305503895E+00
-1.800000E-03,+1.959376708E+00,+3.312644322E+00
-1.797500E-03,+1.976859813E+00,+3.348719095E+00
-1.795000E-03,+1.968017324E+00,+3.342991313E+00
-1.792500E-03,+1.983596958E+00,+3.376663143E+00
-1.790000E-03,+1.976360342E+00,+3.386512834E+00
-1.787500E-03,+1.985504752E+00,+3.413643680E+00
-1.785000E-03,+1.980482714E+00,+3.413751679E+00
-1.782500E-03,+1.998869808E+00,+3.448215640E+00
-1.780000E-03,+1.983493359E+00,+3.438066652E+00
-1.777500E-03,+1.998270789E+00,+3.460582331E+00
-1.775000E-03,+1.989023668E+00,+3.462392277E+00
-1.772500E-03,+1.992841417E+00,+3.480579196E+00
-1.770000E-03,+1.987818993E+00,+3.474454847E+00
-1.767500E-03,+1.993543571E+00,+3.504898530E+00
-1.765000E-03,+1.982790703E+00,+3.490628521E+00
-1.762500E-03,+1.989526188E+00,+3.512643571E+00
-1.760000E-03,+1.983194988E+00,+3.511537594E+00
-1.757500E-03,+1.978771505E+00,+3.516559517E+00
-1.755000E-03,+1.973145663E+00,+3.518272655E+00
-1.752500E-03,+1.975453073E+00,+3.529522023E+00
-1.750000E-03,+1.957367707E+00,+3.510133362E+00
-1.747500E-03,+1.964902617E+00,+3.524802563E+00
-1.745000E-03,+1.956561375E+00,+3.523597000E+00
-1.742500E-03,+1.953342490E+00,+3.523694232E+00
-1.740000E-03,+1.943396957E+00,+3.518273658E+00
-1.737500E-03,+1.939774635E+00,+3.523692804E+00
-1.735000E-03,+1.925105512E+00,+3.505911405E+00
-1.732500E-03,+1.929124671E+00,+3.513949722E+00
-1.730000E-03,+1.913544883E+00,+3.498972002E+00
-1.727500E-03,+1.909021313E+00,+3.496960994E+00
-1.725000E-03,+1.895556363E+00,+3.481487430E+00
-1.722500E-03,+1.894045946E+00,+3.487109335E+00
-1.720000E-03,+1.874651843E+00,+3.458372346E+00
-1.717500E-03,+1.869024188E+00,+3.464301036E+00
-1.715000E-03,+1.849927259E+00,+3.444097127E+00
-1.712500E-03,+1.843796118E+00,+3.437261979E+00
-1.710000E-03,+1.826411132E+00,+3.417668860E+00
-1.707500E-03,+1.819975059E+00,+3.410827846E+00
-1.705000E-03,+1.801888034E+00,+3.379378891E+00
-1.702500E-03,+1.803598548E+00,+3.381587989E+00
-1.700000E-03,+1.772439320E+00,+3.340780517E+00
-1.697500E-03,+1.767314184E+00,+3.335352882E+00
-1.695000E-03,+1.748822217E+00,+3.302693039E+00
-1.692500E-03,+1.733845847E+00,+3.292637307E+00
-1.690000E-03,+1.716963922E+00,+3.259177461E+00
-1.687500E-03,+1.706105640E+00,+3.251330249E+00
-1.685000E-03,+1.681384529E+00,+3.216961899E+00
-1.682500E-03,+1.669121707E+00,+3.193239769E+00
-1.680000E-03,+1.644500104E+00,+3.166110660E+00
-1.677500E-03,+1.632839272E+00,+3.148617134E+00
-1.675000E-03,+1.609124745E+00,+3.112643336E+00
-1.672500E-03,+1.597563383E+00,+3.099469849E+00
-1.670000E-03,+1.573243817E+00,+3.056257852E+00
-1.667500E-03,+1.559976456E+00,+3.035150264E+00
-1.665000E-03,+1.535254381E+00,+3.002893587E+00
-1.662500E-03,+1.519170876E+00,+2.976958771E+00
-1.660000E-03,+1.491235318E+00,+2.941587580E+00
-1.657500E-03,+1.476256285E+00,+2.920173786E+00
-1.655000E-03,+1.447715649E+00,+2.877564359E+00
-1.652500E-03,+1.424599022E+00,+2.850427106E+00
-1.650000E-03,+1.407113678E+00,+2.813144339E+00
-1.647500E-03,+1.385702432E+00,+2.780475234E+00
-1.645000E-03,+1.363696065E+00,+2.732241932E+00
-1.642500E-03,+1.350025075E+00,+2.703994380E+00
-1.640000E-03,+1.319373924E+00,+2.666107578E+00
-1.637500E-03,+1.292035107E+00,+2.627714550E+00
-1.635000E-03,+1.270730702E+00,+2.594851291E+00
-1.632500E-03,+1.242789394E+00,+2.553339465E+00
-1.630000E-03,+1.218770360E+00,+2.511836747E+00
-1.627500E-03,+1.193643111E+00,+2.476355049E+00
-1.625000E-03,+1.165907111E+00,+2.432238755E+00
-1.622500E-03,+1.142387896E+00,+2.392737474E+00
-1.620000E-03,+1.116459872E+00,+2.354349849E+00
-1.617500E-03,+1.087815020E+00,+2.308717349E+00
-1.615000E-03,+1.065405139E+00,+2.268720070E+00
-1.612500E-03,+1.040779832E+00,+2.228718970E+00
-1.610000E-03,+1.012540269E+00,+2.180679861E+00
-1.607500E-03,+981.181830E-03,+2.137863582E+00
-1.605000E-03,+953.745744E-03,+2.091936686E+00
-1.602500E-03,+922.386186E-03,+2.045501752E+00
-1.600000E-03,+896.559253E-03,+1.996560353E+00
-1.597500E-03,+870.127088E-03,+1.953139922E+00
-1.595000E-03,+841.182360E-03,+1.906307418E+00
-1.592500E-03,+810.326403E-03,+1.858265530E+00
-1.590000E-03,+784.600560E-03,+1.810931084E+00
-1.587500E-03,+755.352638E-03,+1.766407340E+00
-1.585000E-03,+722.590508E-03,+1.720077934E+00
-1.582500E-03,+693.946157E-03,+1.673238097E+00
-1.580000E-03,+665.001429E-03,+1.615052238E+00
-1.577500E-03,+636.056701E-03,+1.570929924E+00
-1.575000E-03,+604.097469E-03,+1.523695449E+00
